polygonName,polygonPoints,description,size,JSON
Morovnianska 4,18.755845;48.736559;414-18.755885;48.736557;414-18.755869;48.736469;413-18.756094;48.736444;412-18.755966;48.736389;413-18.755858;48.736432;413-18.75585;48.736516;413,,103,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755845,48.736559,414], [18.755885,48.736557,414], [18.755869,48.736469,413], [18.756094,48.736444,412], [18.755966,48.736389,413], [18.755858,48.736432,413], [18.75585,48.736516,413] ]]}"
Morovnianska 4 - 1,18.756167;48.736345;410-18.75644;48.736331;409-18.756247;48.736244;410-18.75618;48.736304;410,!!,116,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.756167,48.736345,410], [18.75644,48.736331,409], [18.756247,48.736244,410], [18.75618,48.736304,410] ]]}"
Okruzna 22,18.75321;48.738825;420-18.753291;48.738733;420-18.753022;48.738626;419-18.752942;48.73871;420-18.752459;48.73852;422-18.752588;48.738471;421-18.752588;48.738434;421-18.752639;48.738414;419-18.752883;48.738487;419-18.753122;48.738568;419-18.753275;48.738642;419-18.753358;48.738733;419-18.753245;48.73883;420,,949,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.75321,48.738825,420], [18.753291,48.738733,420], [18.753022,48.738626,419], [18.752942,48.73871,420], [18.752459,48.73852,422], [18.752588,48.738471,421], [18.752588,48.738434,421], [18.752639,48.738414,419], [18.752883,48.738487,419], [18.753122,48.738568,419], [18.753275,48.738642,419], [18.753358,48.738733,419], [18.753245,48.73883,420] ]]}"
Okruzna 34 - potok,18.751652;48.737754;420-18.751877;48.737818;419-18.752092;48.737866;419-18.752317;48.737906;418-18.752371;48.737892;418-18.752384;48.73786;418-18.752116;48.737834;419-18.751941;48.737814;419-18.751654;48.737756;420,,156,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.751652,48.737754,420], [18.751877,48.737818,419], [18.752092,48.737866,419], [18.752317,48.737906,418], [18.752371,48.737892,418], [18.752384,48.73786,418], [18.752116,48.737834,419], [18.751941,48.737814,419], [18.751654,48.737756,420] ]]}"
Okruzna 28 - potok,18.752505;48.737869;418-18.752505;48.737922;418-18.752601;48.737968;417-18.752633;48.737937;417-18.752915;48.738028;417-18.753041;48.738069;416-18.753151;48.738062;416-18.753154;48.738085;416-18.753288;48.738051;415-18.753248;48.73802;415-18.75313;48.737965;416-18.75299;48.737928;416-18.752604;48.737891;417-18.752524;48.73788;418,!!!,529,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.752505,48.737869,418], [18.752505,48.737922,418], [18.752601,48.737968,417], [18.752633,48.737937,417], [18.752915,48.738028,417], [18.753041,48.738069,416], [18.753151,48.738062,416], [18.753154,48.738085,416], [18.753288,48.738051,415], [18.753248,48.73802,415], [18.75313,48.737965,416], [18.75299,48.737928,416], [18.752604,48.737891,417], [18.752524,48.73788,418] ]]}"
Okruzna 13,18.753393;48.737998;416-18.75339;48.737961;416-18.753551;48.737952;417-18.753808;48.737905;418-18.753897;48.737857;419-18.753867;48.737825;419-18.753891;48.737721;420-18.754028;48.737744;419-18.754028;48.737774;419-18.754133;48.737776;417-18.754235;48.737818;416-18.754267;48.737848;416-18.753851;48.737914;418-18.753513;48.737977;417,,437,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753393,48.737998,416], [18.75339,48.737961,416], [18.753551,48.737952,417], [18.753808,48.737905,418], [18.753897,48.737857,419], [18.753867,48.737825,419], [18.753891,48.737721,420], [18.754028,48.737744,419], [18.754028,48.737774,419], [18.754133,48.737776,417], [18.754235,48.737818,416], [18.754267,48.737848,416], [18.753851,48.737914,418], [18.753513,48.737977,417] ]]}"
Okruzna 13,18.753894;48.737703;420-18.753908;48.737632;421-18.753854;48.737625;421-18.753854;48.737611;421-18.753835;48.737611;421-18.753854;48.737542;421-18.753881;48.737491;421-18.753991;48.737524;419-18.75413;48.737553;418-18.754133;48.737648;418-18.754127;48.737714;417-18.754095;48.73774;417-18.754023;48.73774;419-18.75391;48.737722;420,,438,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753894,48.737703,420], [18.753908,48.737632,421], [18.753854,48.737625,421], [18.753854,48.737611,421], [18.753835,48.737611,421], [18.753854,48.737542,421], [18.753881,48.737491,421], [18.753991,48.737524,419], [18.75413,48.737553,418], [18.754133,48.737648,418], [18.754127,48.737714,417], [18.754095,48.73774,417], [18.754023,48.73774,419], [18.75391,48.737722,420] ]]}"
Okruzna 11,18.754221;48.737712;417-18.754192;48.737494;419-18.754452;48.737475;418-18.754487;48.737487;418-18.754519;48.737712;417-18.754554;48.737669;417-18.754522;48.737445;418-18.754653;48.737438;417-18.754701;48.737646;416-18.754865;48.737544;417-18.754862;48.737505;417-18.754841;48.737508;417-18.754798;48.737335;416-18.754728;48.737243;418-18.75461;48.737278;418-18.754366;48.737349;419-18.754162;48.737413;420-18.754173;48.737574;418-18.7542;48.737737;417-18.754299;48.737816;416-18.754404;48.737825;415-18.754492;48.737804;414-18.754506;48.737754;416-18.755037;48.737606;414-18.755021;48.737542;416-18.754999;48.73753;416-18.75486;48.737539;417-18.754701;48.737645;416-18.754554;48.737666;417-18.754524;48.73771;417-18.75424;48.737735;417,,1643,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.754221,48.737712,417], [18.754192,48.737494,419], [18.754452,48.737475,418], [18.754487,48.737487,418], [18.754519,48.737712,417], [18.754554,48.737669,417], [18.754522,48.737445,418], [18.754653,48.737438,417], [18.754701,48.737646,416], [18.754865,48.737544,417], [18.754862,48.737505,417], [18.754841,48.737508,417], [18.754798,48.737335,416], [18.754728,48.737243,418], [18.75461,48.737278,418], [18.754366,48.737349,419], [18.754162,48.737413,420], [18.754173,48.737574,418], [18.7542,48.737737,417], [18.754299,48.737816,416], [18.754404,48.737825,415], [18.754492,48.737804,414], [18.754506,48.737754,416], [18.755037,48.737606,414], [18.755021,48.737542,416], [18.754999,48.73753,416], [18.75486,48.737539,417], [18.754701,48.737645,416], [18.754554,48.737666,417], [18.754524,48.73771,417], [18.75424,48.737735,417] ]]}"
Okruzna 35,18.752021;48.73714;430-18.751855;48.737034;431-18.751533;48.737062;431-18.751474;48.737147;429-18.751458;48.737317;425-18.751023;48.737296;426-18.751029;48.737324;426-18.751227;48.737338;426-18.751227;48.737404;425-18.751211;48.737483;423-18.751251;48.73751;423-18.751278;48.737395;424-18.751466;48.737377;424-18.751691;48.737388;424-18.751857;48.737414;424-18.751898;48.737262;427-18.752016;48.737146;430,,1497,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.752021,48.73714,430], [18.751855,48.737034,431], [18.751533,48.737062,431], [18.751474,48.737147,429], [18.751458,48.737317,425], [18.751023,48.737296,426], [18.751029,48.737324,426], [18.751227,48.737338,426], [18.751227,48.737404,425], [18.751211,48.737483,423], [18.751251,48.73751,423], [18.751278,48.737395,424], [18.751466,48.737377,424], [18.751691,48.737388,424], [18.751857,48.737414,424], [18.751898,48.737262,427], [18.752016,48.737146,430] ]]}"
Okruzna ihrisko,18.752517;48.737464;425-18.752531;48.737331;428-18.752681;48.73728;428-18.752971;48.737153;429-18.753126;48.737139;429-18.753657;48.737093;426-18.753647;48.73739;424-18.753748;48.737388;423-18.753748;48.737404;422-18.753786;48.737404;423-18.753786;48.737395;423-18.753885;48.737395;422-18.753813;48.737487;422-18.753797;48.737606;422-18.75363;48.737595;423-18.753467;48.737552;423-18.75322;48.737535;424-18.753081;48.737499;424-18.752713;48.737468;425-18.752676;48.73746;425-18.7526;48.737471;425,,3435,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.752517,48.737464,425], [18.752531,48.737331,428], [18.752681,48.73728,428], [18.752971,48.737153,429], [18.753126,48.737139,429], [18.753657,48.737093,426], [18.753647,48.73739,424], [18.753748,48.737388,423], [18.753748,48.737404,422], [18.753786,48.737404,423], [18.753786,48.737395,423], [18.753885,48.737395,422], [18.753813,48.737487,422], [18.753797,48.737606,422], [18.75363,48.737595,423], [18.753467,48.737552,423], [18.75322,48.737535,424], [18.753081,48.737499,424], [18.752713,48.737468,425], [18.752676,48.73746,425], [18.7526,48.737471,425] ]]}"
Morovnianska 5A,18.755923;48.736844;414-18.755896;48.736831;414-18.755856;48.736906;414-18.756076;48.736778;413-18.755998;48.736785;413-18.755923;48.736812;414-18.755958;48.736824;413,,53,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755923,48.736844,414], [18.755896,48.736831,414], [18.755856,48.736906,414], [18.756076,48.736778,413], [18.755998,48.736785,413], [18.755923,48.736812,414], [18.755958,48.736824,413] ]]}"
Morovnianska 2 - 2,18.755995;48.736246;412-18.7561;48.736161;411-18.755805;48.736032;412-18.755974;48.736233;412,,167,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755995,48.736246,412], [18.7561,48.736161,411], [18.755805,48.736032,412], [18.755974,48.736233,412] ]]}"
Morovnianska 2 - 3,18.755786;48.736026;412-18.755547;48.736131;414-18.755518;48.736129;414-18.755507;48.736094;414-18.755542;48.736023;413-18.755647;48.735965;412-18.755756;48.735982;413,,206,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755786,48.736026,412], [18.755547,48.736131,414], [18.755518,48.736129,414], [18.755507,48.736094,414], [18.755542,48.736023,413], [18.755647,48.735965,412], [18.755756,48.735982,413] ]]}"
Morovnianska cesta - 3,18.75754;48.736686;404-18.757722;48.736736;404-18.757996;48.736739;404-18.758264;48.736731;403-18.758787;48.736672;403-18.759595;48.73658;402-18.759565;48.736575;402-18.759082;48.736628;403-18.758699;48.736676;404-18.758361;48.736709;403-18.758176;48.736727;403-18.757859;48.736725;404-18.757709;48.736718;404-18.757559;48.736676;404,,171,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.75754,48.736686,404], [18.757722,48.736736,404], [18.757996,48.736739,404], [18.758264,48.736731,403], [18.758787,48.736672,403], [18.759595,48.73658,402], [18.759565,48.736575,402], [18.759082,48.736628,403], [18.758699,48.736676,404], [18.758361,48.736709,403], [18.758176,48.736727,403], [18.757859,48.736725,404], [18.757709,48.736718,404], [18.757559,48.736676,404] ]]}"
Morovnianska 3 - 2,18.755233;48.736805;417-18.755325;48.736785;417-18.755292;48.736644;416-18.755228;48.736653;417-18.755223;48.736571;417-18.755376;48.736562;416-18.755561;48.736481;416-18.755724;48.73644;415-18.755834;48.736384;414-18.755724;48.736382;415-18.755596;48.736409;415-18.755405;48.736463;416-18.755201;48.736513;417-18.755129;48.736527;418-18.755207;48.736732;417-18.755231;48.736784;417,,528,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755233,48.736805,417], [18.755325,48.736785,417], [18.755292,48.736644,416], [18.755228,48.736653,417], [18.755223,48.736571,417], [18.755376,48.736562,416], [18.755561,48.736481,416], [18.755724,48.73644,415], [18.755834,48.736384,414], [18.755724,48.736382,415], [18.755596,48.736409,415], [18.755405,48.736463,416], [18.755201,48.736513,417], [18.755129,48.736527,418], [18.755207,48.736732,417], [18.755231,48.736784,417] ]]}"
Morovnianska 1 - 1,18.756111;48.736769;413-18.756129;48.736785;413-18.756505;48.73675;409-18.756805;48.736725;407-18.757178;48.736729;405-18.757173;48.736718;405-18.75691;48.736704;407-18.756698;48.73672;408-18.75625;48.736762;412-18.756153;48.736766;413,,124,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.756111,48.736769,413], [18.756129,48.736785,413], [18.756505,48.73675,409], [18.756805,48.736725,407], [18.757178,48.736729,405], [18.757173,48.736718,405], [18.75691,48.736704,407], [18.756698,48.73672,408], [18.75625,48.736762,412], [18.756153,48.736766,413] ]]}"
Morovnianska 1,18.756556;48.736396;409-18.756558;48.736437;409-18.756591;48.736437;409-18.756607;48.736479;409-18.756674;48.736479;408-18.756674;48.736502;408-18.756778;48.736493;408-18.757014;48.736584;406-18.75702;48.736656;406-18.756784;48.736672;407-18.756789;48.736686;407-18.757057;48.736677;405-18.7571;48.736653;405-18.757132;48.736644;405-18.757047;48.736589;406-18.756797;48.736483;408-18.756765;48.736485;408-18.756591;48.736412;409,,180,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.756556,48.736396,409], [18.756558,48.736437,409], [18.756591,48.736437,409], [18.756607,48.736479,409], [18.756674,48.736479,408], [18.756674,48.736502,408], [18.756778,48.736493,408], [18.757014,48.736584,406], [18.75702,48.736656,406], [18.756784,48.736672,407], [18.756789,48.736686,407], [18.757057,48.736677,405], [18.7571,48.736653,405], [18.757132,48.736644,405], [18.757047,48.736589,406], [18.756797,48.736483,408], [18.756765,48.736485,408], [18.756591,48.736412,409] ]]}"
Morovnianska 2 - 1,18.75573;48.736348;415-18.755842;48.736361;414-18.755958;48.736345;412-18.756073;48.736285;411-18.756116;48.736223;411-18.756129;48.736161;411-18.756041;48.736235;411-18.755891;48.736308;412-18.755765;48.736341;414,,157,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.75573,48.736348,415], [18.755842,48.736361,414], [18.755958,48.736345,412], [18.756073,48.736285,411], [18.756116,48.736223,411], [18.756129,48.736161,411], [18.756041,48.736235,411], [18.755891,48.736308,412], [18.755765,48.736341,414] ]]}"
Morovnianska 2 - 4,18.755357;48.735865;414-18.755413;48.73591;414-18.755443;48.735965;414-18.755435;48.736115;415-18.755435;48.736212;416-18.755432;48.736276;416-18.755459;48.736363;415-18.755405;48.736449;416-18.755652;48.736378;415-18.755647;48.736363;415-18.755596;48.73638;415-18.755441;48.736191;416-18.755491;48.73617;415-18.75547;48.73611;415-18.755478;48.736025;414-18.755537;48.735968;413-18.755569;48.735919;413-18.755397;48.735878;414,!!!,328,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755357,48.735865,414], [18.755413,48.73591,414], [18.755443,48.735965,414], [18.755435,48.736115,415], [18.755435,48.736212,416], [18.755432,48.736276,416], [18.755459,48.736363,415], [18.755405,48.736449,416], [18.755652,48.736378,415], [18.755647,48.736363,415], [18.755596,48.73638,415], [18.755441,48.736191,416], [18.755491,48.73617,415], [18.75547,48.73611,415], [18.755478,48.736025,414], [18.755537,48.735968,413], [18.755569,48.735919,413], [18.755397,48.735878,414] ]]}"
Morovnianska skolka,18.755351;48.735857;414-18.755346;48.735864;414-18.754646;48.735676;417-18.754356;48.735683;419-18.75434;48.735635;419-18.754356;48.73562;419-18.754512;48.735628;418-18.754748;48.735689;417-18.755134;48.735793;415-18.755327;48.735848;414,,191,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755351,48.735857,414], [18.755346,48.735864,414], [18.754646,48.735676,417], [18.754356,48.735683,419], [18.75434,48.735635,419], [18.754356,48.73562,419], [18.754512,48.735628,418], [18.754748,48.735689,417], [18.755134,48.735793,415], [18.755327,48.735848,414] ]]}"
Morovnianska skolka,18.753876;48.73562;421-18.754284;48.735612;420-18.754271;48.735597;420-18.754163;48.735591;420-18.753876;48.735593;422-18.753863;48.735611;421,,78,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753876,48.73562,421], [18.754284,48.735612,420], [18.754271,48.735597,420], [18.754163,48.735591,420], [18.753876,48.735593,422], [18.753863,48.735611,421] ]]}"
Morovnianska skolka,18.753933;48.735758;420-18.754313;48.735657;419-18.754287;48.735623;420-18.753892;48.735683;421-18.753922;48.735726;420-18.753925;48.735745;420,,191,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753933,48.735758,420], [18.754313,48.735657,419], [18.754287,48.735623,420], [18.753892,48.735683,421], [18.753922,48.735726,420], [18.753925,48.735745,420] ]]}"
Morovnianska skolka,18.754421;48.736141;421-18.754534;48.736094;421-18.754185;48.735708;419-18.754298;48.735687;419-18.754287;48.73566;419-18.754115;48.735711;420-18.753952;48.735779;420-18.753976;48.735814;421-18.754048;48.735787;420-18.754405;48.736124;421,,652,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.754421,48.736141,421], [18.754534,48.736094,421], [18.754185,48.735708,419], [18.754298,48.735687,419], [18.754287,48.73566,419], [18.754115,48.735711,420], [18.753952,48.735779,420], [18.753976,48.735814,421], [18.754048,48.735787,420], [18.754405,48.736124,421] ]]}"
Morovnianska skolka,18.754349;48.736171;422-18.754606;48.736433;422-18.754628;48.736555;422-18.754614;48.736555;422-18.754585;48.736437;422-18.754335;48.73617;422,,57,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.754349,48.736171,422], [18.754606,48.736433,422], [18.754628,48.736555,422], [18.754614,48.736555,422], [18.754585,48.736437,422], [18.754335,48.73617,422] ]]}"
Svermova 3,18.759675;48.728831;423-18.759522;48.72886;424-18.759479;48.728872;424-18.759605;48.728874;423-18.759664;48.728863;423-18.759704;48.728838;423,,37,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759675,48.728831,423], [18.759522,48.72886,424], [18.759479,48.728872,424], [18.759605,48.728874,423], [18.759664,48.728863,423], [18.759704,48.728838,423] ]]}"
Svermova 3,18.758905;48.72875;426-18.758883;48.728752;426-18.758948;48.729024;427-18.758988;48.729217;429-18.759004;48.729215;429-18.758907;48.728769;426,,64,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.758905,48.72875,426], [18.758883,48.728752,426], [18.758948,48.729024,427], [18.758988,48.729217,429], [18.759004,48.729215,429], [18.758907,48.728769,426] ]]}"
Prievidzska 4,18.76144;48.730551;411-18.761392;48.730553;411-18.761352;48.730589;410-18.761311;48.730633;411-18.761295;48.730665;411-18.761322;48.730695;410-18.761459;48.730557;411,,72,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.76144,48.730551,411], [18.761392,48.730553,411], [18.761352,48.730589,410], [18.761311,48.730633,411], [18.761295,48.730665,411], [18.761322,48.730695,410], [18.761459,48.730557,411] ]]}"
Mostna 1,18.762411;48.737486;401-18.762406;48.737461;401-18.762647;48.737436;403-18.762771;48.737452;404-18.762787;48.737479;404-18.762663;48.737465;403-18.762438;48.737482;402,,80,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.762411,48.737486,401], [18.762406,48.737461,401], [18.762647,48.737436,403], [18.762771,48.737452,404], [18.762787,48.737479,404], [18.762663,48.737465,403], [18.762438,48.737482,402] ]]}"
Morovnianska - otocka,18.751951;48.735902;431-18.751972;48.735908;430-18.751994;48.73594;430-18.75194;48.735994;431-18.75187;48.73603;431-18.7518;48.735994;432-18.751835;48.735934;431-18.751905;48.735911;431,,118,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.751951,48.735902,431], [18.751972,48.735908,430], [18.751994,48.73594,430], [18.75194,48.735994,431], [18.75187,48.73603,431], [18.7518,48.735994,432], [18.751835,48.735934,431], [18.751905,48.735911,431] ]]}"
Morovnianska 60,18.751363;48.736239;435-18.751353;48.736203;435-18.751334;48.73629;436-18.751379;48.736398;436-18.751538;48.736529;435-18.751717;48.736658;435-18.75187;48.73679;434-18.751878;48.736844;434-18.75183;48.736923;434-18.751787;48.737024;433-18.751857;48.737033;431-18.752023;48.737137;430-18.752063;48.737029;432-18.752093;48.736964;432-18.752152;48.736921;432-18.752329;48.736856;432-18.752324;48.736842;432-18.752152;48.736909;432-18.75212;48.736891;432-18.751878;48.736635;434-18.751851;48.736647;434-18.75172;48.736511;435-18.751699;48.73652;435-18.751562;48.736384;435-18.751543;48.736394;435-18.751371;48.736239;435,,1323,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.751363,48.736239,435], [18.751353,48.736203,435], [18.751334,48.73629,436], [18.751379,48.736398,436], [18.751538,48.736529,435], [18.751717,48.736658,435], [18.75187,48.73679,434], [18.751878,48.736844,434], [18.75183,48.736923,434], [18.751787,48.737024,433], [18.751857,48.737033,431], [18.752023,48.737137,430], [18.752063,48.737029,432], [18.752093,48.736964,432], [18.752152,48.736921,432], [18.752329,48.736856,432], [18.752324,48.736842,432], [18.752152,48.736909,432], [18.75212,48.736891,432], [18.751878,48.736635,434], [18.751851,48.736647,434], [18.75172,48.736511,435], [18.751699,48.73652,435], [18.751562,48.736384,435], [18.751543,48.736394,435], [18.751371,48.736239,435] ]]}"
